,num,lyrics,mood
10,9,love gas soon turned heart glass seemed like real thing find much mistrust love gone behind love divine soon found losing mind seemed like real thing blind much mistrust love gone behind find pleasing im feeling fine love confusing there peace mind fear im losing good teasing like love gas soon turned heart glass seemed like real thing find much mistrust love gone behind lost inside adorable illusion cannot hide im one youre using please dont push aside couldve made cruising riding high love true bluish light love gas soon turned pain as seemed like real thing find much mistrust love gone behind find pleasing im feeling fine love confusing there peace mind fear im losing good teasing like,happy
11,10,there place go end long slow day streetlamps fuse rising night feel far away came back late garden couldnt turn eye dead outside crowded pine ship sailing though wood impossible leaving space hovis home railway heath impossible see freedom need little time hair wet arm full dead alive looking heart light looking silence night frigid seemed hardly real last light plain roland dark tower came weialala leia weialala leia impossible impossible impossible,relaxed
12,11,well walk upon river like easier land evil pocket hand oh hand ill throw current stand upon still love ive heard heart learned kill oh mine learned kill oh said could rise harness goal come tear like always let go let go spike keep falling heaven floor future skin dont dream anymore dont dream anymore like house made spider web cloud rolling bet mighty river savior sin oh savior sin oh said could rise harness goal come tear like always let go let go well walk upon river like easier land evil pocket strength hand strength hand ill throw current stand upon still love ive heard heart learned kill oh mine learned kill oh said could rise harness goal come tear like always let go let go,sad
13,12,silent real speak one hear wear mask there somewhere hide silence golden broken safe skin nobody win raise voice someone get hurt cant feel wont get touched truth spoken lie hide silence golden broken safe skin nobody win silence golden nobody get safe skin nobody win hear speak understand hear voice hold hand understand wont someone listen nobody get body temple nothing simple silence golden broken something stolen safe skin safe skin wont someone listen body temple nothing simple body temple nothing simple something stolen broken broken silence golden broken safe skin,angry
14,13,half mile county fair rain came pourin billy standin silver half crown hand full fishin rod tackle back stood gettin wet back fence oh water oh water oh water hope dont rain day stoned soul stoned like jelly roll stoned stoned soul stoned like going home stoned rain let sun came gettin dry almost let pickup truck nearly pas u jumped right driver grinned dropped u road looked swim jumped right mention fishing pole oh water oh water oh water let run well stoned soul stoned like jelly roll stoned stoned soul stoned like going home stoned way back home sang song throat getting dry saw man across road sunshine eye well lived alone little home great big gallon jar bottle one said hey oh water oh water oh water get mountain stream well stoned soul stoned like jelly roll stoned stoned soul stoned like going home stoned well stoned soul stoned like jelly roll stoned stoned soul stoned like going home stoned,relaxed
15,14,im way misery happiness today ahhah ahhah im way misery happiness today ahhah ahhah im way want world year youll make next world everything receive yonder gave day wandered took right took right turning yesterday ahhah ahhah yeah took right took right turning yesterday yeah yeah yeah yeah took road brought home town took bus street could walk walked street find one id looked climbed stair led front door dont want anything id al jolson sing im sitting top world ill best ill best best ahhah ahhah yeah ill best ill best best haah haah haah haah keep foot jumping ground dear keep heart jumping mouth dear keep past past present try learn teach lesson dont want anything id al jolson sing im sitting top world im way misery happiness today ahhah ahhah im way misery happiness today yeah yeah yeah yeah im way want world year youll make next world everything receive yonder gave day wandered im way want world year youll make next world everything receive yonder gave day wandered im way im way im way im way im way im way,happy
16,15,nigga gun go see barrel turning feel hollow burning nigga youre learning nigga gun go call attempted murder nigga im trying murk come back busting nigga gun go dont try say im tripping get flipping smack clip nigga gun go call putting work leaving nigga hurting homicide lurking nigga gun go fuckboy see believe try dodge weave end paraplegic believe easy ill hurt ill murk ill pop something drop something aint going stop hunting run run til youre spun one shot one gun one emergency murder excellent execution im pulling trigger mistake cake im hitting nigga feel flame aim top brain see spark bang nigga shit aint game math get blast bullet go glass go as fast leather seat nav nigga war there casualty one side ride turn nigga jake ride clickclack thats dont flash mash wave uzi make movie nigga gun go see barrel turning feel hollow burning nigga youre learning nigga gun go call attempted murder nigga im trying murk come back busting nigga gun go dont try say im tripping get flipping smack clip nigga gun go call putting work leaving nigga hurting homicide lurking nigga gun go better lose moment use fuck music imma let go get one shot back fire back hat back as crack nutsack cadillac make im hitting smack crack grimy millennium mac man clip whip ride bad bitch ride dont worry ill get gat jammed unjammed god damn safest safety dont work squeeze eagle chirp end faced dirt hurt bring beef hang bang shot ring hit shoulder trying blow brain hit homies leg bet cane tomorrow know tomorrow day away keep heart beating as awake nigga gun go see barrel turning feel hollow burning nigga youre learning nigga gun go call attempted murder nigga im trying murk come back busting nigga gun go dont try say im tripping get flipping smack clip nigga gun go call putting work leaving nigga hurting homicide lurking nigga gun go,angry
17,16,man tend next shot tequila vibe tonight yeah sweet yah man spot sweet senorita bounce bass di tweeter look muy bonita way move remind selena rock dip wanna dance reggae calypso look dress hug pon hip look move fast slow muy bonita mamacita gal whine let come behind yuh eh make feel alright woulda dance night yuh want eh till mornin light love feel front gal let hold tight look deh pure death arena number one gal prima ballerina little girl fi come nuh drink smoke sensimilla look muy bonita nuh see mona lisa,happy
18,17,ive away searching reason another purpose find ive sailed sea fought many demon ive looked god sky ive stood hell many suffer stared devil eye walked many road witness ancient idol found great gate fire many storm question conviction gave army reason rise hangman searching bone borrow escaped night fight flight live road end ill coming home tend light cause night ill coming home escaped hail calculated mortar drank blood king desert rain washed away direction angel looking seems live road end ill coming home tend light cause night ill coming home story end far started weary limb grown old ive seen world eye nomad home heart ive told go live road end ill coming home tend light cause night ill coming home im coming home im coming home im coming home im coming home,angry
19,18,im afraid anything need know breathe dont need much anything suddenly suddenly small world big around fast moving surrounded many thing suddenly suddenly feel different feel different feel im young free get tired get weak get lost cant sleep suddenly suddenly feel different feel different feel would comfort would cry ahahah ahah ahah ahah ahahah ahah ahah ahah small world big im afraid anything feel different feel different feel different feel different ahahah ahah ahah ahahah ahah ahah feel feel youre different different feel feel youre different different feel feel youre different different feel feel youre different,sad
20,19,two great european narcotic alcohol christianity know one prefer never went church get work sometimes thingsll hurt hit since left u hard search still id ask im supposed get bit scared every hope made proud birthday mum passed fork spoon put head table distraught tidied thing bin poorly grew there nothing hold talk put hand interrupt conversation people say interrupt people look sometimes think hard cant remember face looked started reading dream favourite book panic pace cant see right thing youd scratching head best advice knew feel sad cant hear reciting miss dad ive got nothing remind never went church get work sometimes thingsll hurt hit since left u hard search still id ask im supposed get bit scared every hope made proud needed break book dream taken needed pray see priest day needed leave trade heave away cleaned place like could see thing straight never cared god life sailin calm said id get head id deal ache heart god exists id reckon hed pay regard mum say start guess leave something remind every time interrupt someone like used something like youll mind cause forgot left behind remind never went church get work sometimes thingsll hurt hit since left u hard search still id ask im supposed get bit scared every hope made proud never went church get work sometimes thingsll hurt hit since left u hard search still tell didnt know even im scared somehow cause know youd proud got good one dad im gonna see priest rabbi protestant clergyman always said hedge bet,sad
21,20,told size wasnt shit thats murdered niece wasnt fault found head cut piece dont let em run hurry catch em grab arm grab arm let pull till stretch em play pussy get fucked mean youre better dead wanna see food fished child head motherfucker beware cause im sick dead head frog leg mmm cake mix friday th night living dead vampire arm walkin round givin nigga head didnt die would say got lucky body found dead fuck blame chuckie child play motherfucka aw fuck chuck killin spree gimme barb ill start killin murder tried slack missile blew little girl back name chuckie say im insane give gin might eat dog brain give motherfuckin pack ill damned dont bring dead nigga back murder contest know ill win cause every mailbox head knife im gettin hungry need fed feel like eatin bag barbequed broke leg bustin neck motherfckin brick half body chuckie half bushwick short nigga always pumpin lead havent figured way get fist forehead get sit get lit knife neck made polar bear spit uzi utensil inside chest found pencil nerve go chuck fifty gun aimed fuck gonna duck yo im mad im ready slay graveyard packed aint nothin child play youd better murder put rest cause dont ill come shootin head bird chest pissed way im always soundin killed punk found im say im crazy say im crack die cut leg let die iraq born loser say im mindless get pissed leave naked spineless worse charles manson never havin equal went sleepwalking last night killed people woke chained floor told killed yo wanna rumble go get war hat went jail assault carjack might small nut big worst could let keep fuckin kid cause im teach em act aint actin right dyin tonight uh aint use tryin spot em send motherfuckin note say chuckies got em,angry
22,21,sun shine high sound laughter bird swoop upon cross old grey church say love secretly wishing rain sipping coke playing game september september,relaxed
23,22,dont belong never saw path walk bloodstained wall line chalk floor getting hard never saw backlash tide began rise cant remember way everything felt right mouth held shut eye sealed tight control remember inside dark infernal place dont want face wont stop feeding pain heart dark infernal place dont want face somehow im stuck guilty insincere word ive spoke left alone known never saw backlash tide began rise wish gone could burned choice id die kill noise head remember inside dark infernal place dont want face wont stop feeding pain heart dark infernal place dont want face somehow remember inside inside love spirit give reason live love spirit give reason live love spirit give reason live love spirit give reason live love spirit give reason live love spirit give reason live love spirit give reason live love spirit give reason live,sad
24,23,cut heart section ill show objection cause better alone better alone there strange elation subtle assassination thought saw glimmer hope thought saw glimmer hope dont think could ever understand dont think could ever understand dont think could ever understand dont think could ever understand could stay middle speak riddle id rather feel burn id rather feel burn strike match scatter like ash little angel playing dirt dont think could ever understand dont think could ever understand dont think could ever understand dont think could ever understand thing keep thing better left unsaid sometimes feel like could break half still thing ill never ever tell dont think could ever understand dont think could ever understand dont think could ever understand dont think could ever understand let chain let wear crown,sad
25,24,sun rise another day constitution keep changing till slip away lie awake stare mind thinking wondering anybody care stay go sleep stay awake really happy illusion sitting room hiding thought hoping one day ill get hear voice call name breaking trance silent stay wait many thing left unsaid life remains change try fool believing thing going get better life go illusion,angry
26,25,yll linjaautossa yksi vsynyt matkustaja huuruisesta ikkunasta katsoo vaihtuvat maisemat laskee vastaantulijat pyskit kun ohi vilahtavat tieten niist mik tahansa oisi voinut olla se oikea asemalta kaikuivat kuulutukset kutsuna jota pakoon ei pse nouset kyytiin kerran oot kyydiss aina aina matkalla jonnekin minne ikin ptyykin puolitiess jostain tiet sen varsin hyvin itsekin olemassa asioita niin kipeit ja vaikeita ettei niist puhumalla selvi asemalta kaikuivat kuulutukset kutsuna jota pakoon ei pse nouset kyytiin kerran oot kyydiss aina aina aina yll linjaautossa yksi vsynyt matkustaja asemalta kaikuivat kuulutukset kutsuna jota pakoon ei pse nouset kyytiin kerran oot kyydiss aina asemalta kaikuivat oot kyydiss aina aina,sad
27,26,give reason stay constantly ignored give angle havent tried guarantee honestly compaired want live life achingly unfair dont make move youll look ridiculous share interest easy pretend dont start action turn soon one going follow youll stand like fool left people people left back suburb youre craving crowd minded defeat yesterday mantra spinning head keep raised give reason stay constantly ignored give angle havent tried guarantee honestly compaired want live life achingly unfair dont give dont give dont give,relaxed
28,27,let taste let feel need know keep inside need speak let carry wish let nothing interfere rise submission im still beneath soil discard clothes let loose hair intertwined forever always say word ill depart upon lip dwells nothing meaning cause rise submission im still beneath soil come dark vibrant ever flower already withered endless winter soul outside park day move along nothing ever change nothing u weve always knew nothing ever change rise submission im still beneath soil alone feeding warmth lured inside depending life blood rise submission im still beneath soil alone feeding warmth lured inside silently whispering move set free htaed otni yaw eht dael resolc peel rof gnol gnivael dna yawa gnidaf tuohtiw od nac tahw em gniwohs thgil laerehte raeppasid dna edaf sruoloc ecnart gnihtoos,sad
29,28,ive shed tear hundred time bottle broken well run dry painful word make much harder place ive left chain bound place tonight last night see face left alone ive wandered place night way make right surely fell chain bound place tonight last night see face left alone ive wandered place night way make right surely fell ive held tear hundred time bottle full time shine would believe told time die ive wished night show fight fight come everything everything youre made come everything youve got come everything everything youre made come everything youve got life ive waited day could drive get away place need get away place know better know better,angry
30,29,go siren warns air raid come sound gun sending flak scramble weve got get airborne got get coming attack jump cockpit start engine remove wheel block there time waste gathering speed head runway got get airborne late running scrambling flying rolling turning diving going running scrambling flying rolling turning diving run live fly fly live die wont run live fly fly live ace high move fire mainstream bomber let sharp burst turn away roll spin round come behind move blindsides firing bandit oclock move behind u ten me sun ascending turning spitfire face heading straight press gun rolling turning diving rolling turning diving rolling turning diving rolling turning diving run live fly fly live die wont run live fly fly live ace high,angry
31,30,prettiest thing ever see lightning top cloud moving dark million mile hour somewhere seem like picture thats hangin someone el wall lately havent heavy mind im dreamin like ive always way low still know prettiest thing ever see dusty handle door rusty nail stuck old pine floor look like home im dreamin like ive always way low thinkin prettiest thing dreamin dreamin,relaxed
32,31,wind stand still around suddenly im trembling dont know there something deep echo mind mystifying feeling running round brain love around written name love around written name wind stand still around eye light inside shine soul collide heaven present time word cant convey silence mean need explain love around written name love around written name overcome strange thing done life change nothing love around love around written name love around written name,relaxed
33,32,im standing line club ill never get like bottom ninth im never gonna win life hasnt turned quite way want want brand new house episode crib bathroom play baseball king size tub big enough ten plus ill need credit card thats got limit big black jet bedroom gonna join mile high club thirtyseven thousand foot want new tour bus full old guitar star hollywood boulevard somewhere cher james dean fine im gonna trade life fortune fame id even cut hair change name cause wanna big rockstars live hilltop house driving fifteen car girl come easy drug come cheap well stay skinny cause wont eat well hang coolest bar vip movie star every good gold digger gonna wind every playboy bunny bleach blond hair well hey hey wanna rockstar oh hey hey wanna rockstar wanna great like elvis without tassel hire eight bodyguard love beat asshole sign couple autograph eat meal free im gonna dress as latest fashion get front door key playboy mansion gonna date centerfold love blow money im gonna trade life fortune fame id even cut hair change name cause wanna big rockstars live hilltop house driving fifteen car girl come easy drug come cheap well stay skinny cause wont eat well hang coolest bar vip movie star every good gold digger gonna wind every playboy bunny bleach blond hair well well hide private room latest dictionary today who theyll get anything evil smile everybodys got drug dealer speed dial well hey hey wanna rockstar im gonna sing song offend censor gonna pop pill pez dispenser get washedup singer writing song lip sync em every night dont get em wrong well wanna big rockstars live hilltop house driving fifteen car girl come easy drug come cheap well stay skinny cause wont eat well hang coolest bar vip movie star every good gold digger gonna wind every playboy bunny bleach blond hair well hide private room latest dictionary today who theyll get anything evil smile everybodys got drug dealer speed dial well hey hey wanna rockstar oh hey hey wanna rockstar,angry
34,33,myth legend nymph tale washed ashore near kraken sleepeth stir coral bone infinite city sexy sneer hideous creation human animal banter song rudeness adhered rock glisten harp listen comb hair tear right piece left recess watery grave sensing blood prey swimming fear life rolling falling jaw teeth chatter distracts fiji mermaid let know time coming feed gnaw,angry
35,34,butterfly gravity pull anticipate first touch sweet new let figure make forever oh making crazy hey love point restraint let make move feel earth quake one else slowly shouldnt let go fast bring shell take mask u intertwined fire cannot stop im consumed desire,relaxed
36,35,made love ya night long got write song watched ya sleep fell love ya mustve sent heaven dont think could never wrong farted oh girl farted first thought kinda cute suppressed smile heard girly poot came smell came whoftin brought little tear drop eye think ill go sleep couch cause farted could make milk curdle make skin crawl make paint peal wall wont sleep cover since hot wind blew back door baby sure gas cant live life fear as gathered clothes old dog bill moved back house top hill well old boy guess farted,happy
37,36,mary bright red star caught train work morning got shed call wake shes alright shes alright mary bright red star like look pink sky day turn dark shed call wind shes alright shes alright mary bright red star wear hat sun pink nail bleach blond lock shed call could meet alright shes alright mary bright red star talk night nothing particular shed hang shed wake shes alright shes alright shes alright shes alright,sad
38,37,lip fatty ah lip fatty reggae lip fatty ah lip fatty reggae listen music shuffle foot listen music fatty beat moving rhythm sweating heat moving rhythm fatty beat lip fatty ah lip fatty reggae trumpeet listen music shuffle foot listen music fatty beat lip fatty ah lip fatty reggae trumpeet lip fatty ah lip fatty reggae dont call fat man lip fatty ah lip fatty reggae fat man dont like,happy
39,38,young heart born world fall apart strong dont belong born world fall apart see child rain like parade pain see love see hate see world make see life see sky id give see fly yes wave flag hatred youre one made watch beauty life passing right eye hear hate word word make u hurt get sick sick never wanted medication kid reason live march drum damned come watch burn sun numb young heart born world fall apart strong dont belong born world fall apart walk among shadow street field battle take wear mantle raise hand burning candle hear u whisper dark rain see spark feel beating heart fleeting hope depart together walk alone weve ever known weve ever really wanted place call home take innocence heart made kneel altar tear u apart march drum damned come watch burn sun numb young heart born world fall apart strong dont belong born world fall apart fight fall till angel save u fight fall till angel save u fight fall till angel save u fight fall till angel save u young heart born world fall apart strong dont belong born world fall apart young heart born world fall apart strong dont belong born world fall apart,angry
40,39,bought guitar shop called mar way back home strange thing happened car started play creature jumped highest shelf touched string magnificent tree appeared mind even without leaf strength divine synthesized gnome penetrated godly zone summer thrown royal throne magnificent tree appeared mind even without leaf strength divine,relaxed
41,40,cross line shifting light catch breath stream life tallest tree stretch sea edge shadow meet quiet place nature way season come whisper life still born golden dream hiding place beneath blue sky cross line shifting light catch breath stream life tallest tree stretch sea edge shadow meet,relaxed
42,41,well blew chicken man philly last night blew house boardwalk theyre gettin ready fight gonna see racket boy there trouble busin outta state da cant get relief gonna rumble promenade gamblin commission hangin skin teeth well everything dy baby thats fact maybe everything dy someday come back put makeup fix hair pretty meet tonight atlantic city well got job tried put money away got debt honest man pay drew central trust bought u two ticket coast city bus well everything dy baby thats fact maybe everything dy someday come back put makeup fix hair pretty meet tonight atlantic city luck may died love may cold forever ill stay goin sand turnin gold put stocking baby cause night getting cold everything dy baby thats fact maybe everything dy someday come back lookin job hard find winner loser dont get caught wrong side line well im tired comin losin end honey last night met guy im gonna little favor well everything dy baby thats fact maybe everything dy someday come back put makeup fix hair pretty meet tonight atlantic city,sad
43,42,youve got confused there word could use im afraid say feel ive im boiling mad still cant live without dont time wont spend dime even call dont know exist wouldnt missed nerve quit invisible feel like im invisible treat like im really dont really care know romance aint going nowhere invisible like love treat like im invisible get need flirt worst dont care much hurt never reach phone ring ring know youre home may naive want believe im one tell lie give alibies knowing promise youll never keep like merry go round im going im going im dead end street invisible like love feel like im invisible treat like im really dont really care know romance aint going nowhere although know lot dont want lose whatever got keep hanging knowing cant win cause hard start invisible feellike im invisible invisible like love,sad
44,43,guess dyou miss jessica simpson sing chorus walked door clear youre one adore came see youre rock star everybody want player really blame one made ahem back popular demand pop little zantac antacid youre ready tackle task hand feel fantastic grand well look massive mass stand shady man dont massacre fan damn think kim kardashians man stomped cause asked put hand massive gluteus maximus squeeze squish pas friend come back nasty yes cancan dont ask mean lesbian offend lindsay please come back seeing men samanthas youre practically know want girl fact see grin come girl walked door clear youre one adore came see youre rock star everybody want player really blame one made enforcer looking woman torture walk cutest girl charleyhorse sorry portia whats ellen degeneres dont telling tenderness well gentle smooth gentleman give ventolin inhaler two xenadrine ill invite sarah palin dinner nail baby say hello little friend brit forget kfed let cut middleman forget youre gonna end hospital time wont ritalin binge forget men girl pay little attention little mention jennifers love john mayer sit bench man swear guy give em inch take mile got style isnt slim walked door clear youre one adore came see youre rock star everybody want player really blame one made thats love youll never live without know want girl cause see checking baby know know want dont try deny baby im one damn girl im beginning sprout alfalfa wash filthy mouth think thats bad hear rest album never finesse nostalgia man cash dont mean mess gal jessica alba put breast mouth wowzers made mess trouser wonder keep dressing like elvis lord help u he back pink alf shirt looking like someone shrinked outfit think he bout flip jessica rest assured superman rescue ya blame youre amy im blake matter fact bake birthday cake saw blade make jailbreak baby think met soulmate break girl walked door clear youre one adore came see youre rock star everybody want player really blame one made baby baby get baby get baby get baby get get baby get baby get baby get baby get get oh amy rehab never looked good cant wait im going back haha woo dr dre yeah,happy
45,44,hate way cry say miss love way hold sleep hate way bleed time kiss say hey sleeping beauty go back sleep penny pocket hope eye said girl got million different face whyd put disguise well take want cause ive got nothing pas pill ill go bed however much toss turn feel dark place ahead night sit back remember remember got lost mess said men bad like dad hold even though youre slightly mad cause man ever break penny pocket hope eye said girl youve got million different face whyd put disguise well take want cause got nothing pas pill ill go bed however much toss turn feel dark place ahead doo doo doo doo doo doo doo doo doctor said gotta sing happy tune doo doo doo doo doo doo doo doo doo dn doo body gave soon doo doo doo doo doo doo doo doo know fine im doo doo doo doo doo doo doo doo ah doo dn doo dn doo somebody please come home hate way tremble touch youre like needle slowly piercing skin hate way stomach ache really hate loveless mistake cause im screaming rock never pick never pick penny pocket hope eye said girl youve got million different face whyd put disguise well take want cause got nothing pas pill go bed however much toss turn feel dark place ahead doo doo doo doo doo doo doo doo doctor said ive got sing happy tune maybe skip dinner make pretty thinner maybe hell love stop looking girl said im paranoid im paranoid well nearly choked crap cannot break someone who broken cant break somebody who broken take im naked watch ill let take maybe youll love stop looking girl said im paranoid well paranoid nearly choked crap cannot break somebody who broken cant break somebody who broken dont need dont want word maybe skip dinner make pretty thinner think hell love stop looking girl,sad
46,45,waiting waiting see walk away see walk away waiting waiting see walk away see walk away see walk away see walk away,relaxed
47,46,attend funeral sad think sooner later love may thought tragic think weeping dont worry ash sackcloth arm band made black cloth day nevermore adorn sleeve bomb drop get friend neighbor therell nobody left behind grieve go together go comforting fact know universal bereavement inspiring achievement yes go together go go together go suffused incandescent glow one endurance collect insurance lloyd london loaded go oh fry together fry well frenchfried potato byandby misery world rotisserie yes fry together fry old maelstrom therell storm calm bake together bake therell nobody present wake complete participation grand incineration nearly three billion hunk welldone steak oh char together char let moaning bar sing te deum see icbm party comeasyouare oh burn together burn therell need stand wait turn time fallout saint peter call u well drop agenda adjourn go directly respective valhalla go directly pas go collect two hundred dollar go together go every hottentot every eskimo air becomes uraneous go simultaneous yes go together go together yes go together go,happy
48,47,youve room shop time hard dont rent people think haunted haunted yeah who say theyre wrong see year agosomething happened something nice barber wife beautiful proper artist knife transported life beautiful barker name benjamin barker crime foolishness wife see pretty little thing silly little nit chance moon string poor thing poor thing judge see wanted like mad every day sent flower come tower sat sobbed hour poor fool worse yet come poor thing well beadle call polite poor thing poor thing judge tell contrite blame dreadful plight must come straight house tonight poor thing poor thing course go poor thing poor thing theyre ball mask there one know poor dear poor thing wanders tormented drink poor thing judge repented think poor thing oh judge turpin asks right contrite wasnt match craft see everyone thought droll figured daft see stood laughed see poor soul poor thing would one mercy benjamin barker barker man dead todd sweeney todd revenge,sad
49,48,iron fist quietly sits inside velvet glove take control untouchable like god cant escape wrapped red tape become object defect country ti thee white house calling tell em ill call back tell em anything yeah get em back would ever lie choice word say heard today mine voice nato line one wanna talk tell em im tell em im free world need hero world need hero phantom rule hidden jewel who really control puppet string nation swing undermined mole un hold tell em ill call em back yeah tell em anything get em back world need hero world need hero dave white house calling wanna talk tell em cant bought tell em im free world need hero world need hero world need hero world need hero world need hero,angry
50,49,old so brand new broken fortune turn turn old so brand new broken fortune im underneath surely knew life pigsty life pigsty life pigsty life pigsty life life pigsty life life pigsty life life pigsty life pigsty dont know know every second life live shoot throw train still maintain still maintain life life pigsty life pigsty id shifting gear life im still underneath surely knew cant reach cant reach cant reach anymore please stop time stop pain feel cold feel warm stop pain stop pain even final hour life im falling love even final hour life im falling love im falling love,sad
51,50,make agitated thing youve hated youre uncomplicated affect loving untrue yeaaahhhh sweetly yeahyeah lovely yeahyeah try make crazy make agitated suffocated affect loving untrue sweetly yeahyeah lovely yeahyeah,angry
